回答,卒業年・回,所属クラブ名,野球,卓球,陸上,ラグビー,テニス,柔道,バスケットボール,剣道,弓道,ホッケー,馬術,サッカー,水泳,バドミントン,アーチェリー,ゴルフ,バレー,ワンダーフォーゲル,生物研究,物理研究,化学研究,数学研究,ブラスアンサンブル,美術,鉄道研究,器楽,囲碁将棋,書道,放送,ESS,クラシック同好,応援団,なし,会費支払方法,"キャンパス
ツアー申込",送迎バス,登録日時
参加,旧制卒,卓球部,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加しない,利用する,26ハガキ
参加,昭和27年1952年2回卒,バスケットボール部,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,銀行振込等,参加しない,利用しない,24ハガキ
参加,昭和31年1956年6回卒,バスケットボール部,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加する,利用する,21ハガキ
参加,昭和31年1956年6回卒,人文科学研究班,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加しない,利用しない,8ハガキ
参加,昭和35年1960年10回卒,卓球部,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加しない,利用しない,15ハガキ
参加 ,昭和36年1961年11回卒 ,バスケットボール部, , , , , , ,● , , , , , , , , , , , , , , , , , , , , , , , , , , ,オンライン決済,参加しない ,利用する ,2026-03-26 17:06:41
参加,昭和36年1961年11回卒,KSWL,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加しない,,7ハガキ
参加,昭和38年1963年13回卒,テニス部 ,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加しない,利用しない,10ハガキ
参加 ,昭和40年1965年15回卒 ,KSWL , , , , , , , , , , , , , , , , ,● , , , , , , , , , , , , , , , , ,オンライン決済,参加しない ,利用する ,2026-03-18 09:09:09
参加 ,昭和40年1965年15回卒 ,バスケットボール部 , , , , , , ,● , , , , , , , , , , , , , , , , , , , , , , , , , , ,オンライン決済,参加しない ,利用する ,2026-03-24 09:12:18
参加,昭和40年1965年15回卒,生物研究部,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加する,利用する,4ハガキ
参加 ,昭和42年1967年17回卒 ,無線部, , , , , , , , , , , , , , , , , ,● , , , , , , , , , , , , , , , ,銀行振込等,参加する ,利用しない ,2026-05-08 18:26:29
参加 ,昭和42年1967年17回卒 ,バスケットボール部, , , , , , ,● , , , , , , , , , , , , , , , , , , , , , , , , , , ,銀行振込等,参加しない ,利用する ,2026-03-24 10:40:08
参加 ,昭和42年1967年17回卒 ,弓道部 , , , , , , , , ,● , , , , , , , , , , , , , , , , , , , , , , , , ,オンライン決済,参加しない ,利用しない ,2026-05-10 08:17:26
参加 ,昭和44年1969年19回卒 , , , , , , , , , , , , , , , , , , , , , , , , , ,● , , , , , , , , ,オンライン決済,参加する ,利用する ,2026-05-02 15:31:35
参加 ,昭和46年1971年21回卒 ,陸上部, , ,● , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,オンライン決済,参加しない ,利用しない ,2026-04-14 11:42:04
参加 ,昭和46年1971年21回卒 , , , , , , , , , , , , , , , , , , , , , , , ,● , , , , , , , , , , ,オンライン決済,参加しない ,利用しない ,2026-04-02 11:12:15
参加 ,昭和47年1972年22回卒 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,● ,オンライン決済,参加しない ,利用しない ,2026-04-02 18:20:43
参加,昭和47年1972年22回卒,陸上部,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,参加する,利用しない,17ハガキ
参加 ,昭和47年1972年22回卒 ,弓道部 , , , , , , , , ,● , , , , , , , , , , , , , , , , , , , , , , , , ,オンライン決済,参加しない ,利用しない ,2026-04-13 12:20:53
